F,T,M
0.9310679611650485,1.0,PFN.SR._
1.0,1.0,PFN.SR._
0.0,0.0,PFN.SRO._
0.0,0.0018181818181818182,PFN.SRO._
0.0,0.04727272727272727,PFN.SRO._
0.000970873786407767,0.04727272727272727,PFN.SRO._
0.000970873786407767,0.05090909090909091,PFN.SRO._
0.001941747572815534,0.05090909090909091,PFN.SRO._
0.001941747572815534,0.09454545454545454,PFN.SRO._
0.002912621359223301,0.09454545454545454,PFN.SRO._
0.002912621359223301,0.10545454545454545,PFN.SRO._
0.003883495145631068,0.10545454545454545,PFN.SRO._
0.003883495145631068,0.12,PFN.SRO._
0.0048543689320388345,0.12,PFN.SRO._
0.0048543689320388345,0.12363636363636364,PFN.SRO._
0.005825242718446602,0.12363636363636364,PFN.SRO._
0.005825242718446602,0.14181818181818182,PFN.SRO._
0.006796116504854369,0.14181818181818182,PFN.SRO._
0.006796116504854369,0.14363636363636365,PFN.SRO._
0.007766990291262136,0.14363636363636365,PFN.SRO._
0.007766990291262136,0.14545454545454545,PFN.SRO._
0.009708737864077669,0.14545454545454545,PFN.SRO._
0.009708737864077669,0.1509090909090909,PFN.SRO._
0.010679611650485437,0.1509090909090909,PFN.SRO._
0.010679611650485437,0.15272727272727274,PFN.SRO._
0.01262135922330097,0.15272727272727274,PFN.SRO._
0.01262135922330097,0.1618181818181818,PFN.SRO._
0.013592233009708738,0.1618181818181818,PFN.SRO._
0.013592233009708738,0.16363636363636364,PFN.SRO._
0.015533980582524271,0.16363636363636364,PFN.SRO._
0.015533980582524271,0.18363636363636363,PFN.SRO._
0.01650485436893204,0.18363636363636363,PFN.SRO._
0.01650485436893204,0.18727272727272729,PFN.SRO._
0.017475728155339806,0.18727272727272729,PFN.SRO._
0.017475728155339806,0.1890909090909091,PFN.SRO._
0.018446601941747572,0.1890909090909091,PFN.SRO._
0.018446601941747572,0.2,PFN.SRO._
0.019417475728155338,0.2,PFN.SRO._
0.019417475728155338,0.20909090909090908,PFN.SRO._
0.020388349514563107,0.20909090909090908,PFN.SRO._
0.020388349514563107,0.2109090909090909,PFN.SRO._
0.021359223300970873,0.2109090909090909,PFN.SRO._
0.021359223300970873,0.21454545454545454,PFN.SRO._
0.02233009708737864,0.21454545454545454,PFN.SRO._
0.02233009708737864,0.22363636363636363,PFN.SRO._
0.02330097087378641,0.22363636363636363,PFN.SRO._
0.02330097087378641,0.23272727272727273,PFN.SRO._
0.024271844660194174,0.23272727272727273,PFN.SRO._
0.024271844660194174,0.23454545454545456,PFN.SRO._
0.02524271844660194,0.23454545454545456,PFN.SRO._
0.02524271844660194,0.23636363636363636,PFN.SRO._
0.02621359223300971,0.23636363636363636,PFN.SRO._
0.02621359223300971,0.24363636363636362,PFN.SRO._
0.027184466019417475,0.24363636363636362,PFN.SRO._
0.027184466019417475,0.24727272727272728,PFN.SRO._
0.030097087378640777,0.24727272727272728,PFN.SRO._
0.030097087378640777,0.26,PFN.SRO._
0.031067961165048542,0.26,PFN.SRO._
0.031067961165048542,0.26181818181818184,PFN.SRO._
0.03203883495145631,0.26181818181818184,PFN.SRO._
0.03203883495145631,0.2636363636363636,PFN.SRO._
0.03300970873786408,0.2636363636363636,PFN.SRO._
0.03300970873786408,0.26545454545454544,PFN.SRO._
0.037864077669902914,0.26545454545454544,PFN.SRO._
0.037864077669902914,0.2672727272727273,PFN.SRO._
0.038834951456310676,0.2672727272727273,PFN.SRO._
0.038834951456310676,0.27090909090909093,PFN.SRO._
0.04174757281553398,0.27090909090909093,PFN.SRO._
0.04174757281553398,0.2781818181818182,PFN.SRO._
0.04563106796116505,0.2781818181818182,PFN.SRO._
0.04563106796116505,0.28363636363636363,PFN.SRO._
0.04951456310679612,0.28363636363636363,PFN.SRO._
0.04951456310679612,0.28545454545454546,PFN.SRO._
0.05145631067961165,0.28545454545454546,PFN.SRO._
0.05145631067961165,0.2872727272727273,PFN.SRO._
0.05242718446601942,0.2872727272727273,PFN.SRO._
0.05242718446601942,0.2909090909090909,PFN.SRO._
0.05339805825242718,0.2909090909090909,PFN.SRO._
0.05339805825242718,0.29454545454545455,PFN.SRO._
0.05631067961165048,0.29454545454545455,PFN.SRO._
0.05631067961165048,0.29818181818181816,PFN.SRO._
0.06019417475728155,0.29818181818181816,PFN.SRO._
0.06019417475728155,0.30363636363636365,PFN.SRO._
0.062135922330097085,0.30363636363636365,PFN.SRO._
0.062135922330097085,0.30727272727272725,PFN.SRO._
0.06310679611650485,0.30727272727272725,PFN.SRO._
0.06310679611650485,0.3090909090909091,PFN.SRO._
0.06407766990291262,0.3090909090909091,PFN.SRO._
0.06407766990291262,0.3109090909090909,PFN.SRO._
0.06601941747572816,0.3109090909090909,PFN.SRO._
0.06601941747572816,0.3145454545454546,PFN.SRO._
0.070873786407767,0.3145454545454546,PFN.SRO._
0.070873786407767,0.32,PFN.SRO._
0.07572815533980583,0.32,PFN.SRO._
0.07572815533980583,0.32181818181818184,PFN.SRO._
0.07766990291262135,0.32181818181818184,PFN.SRO._
0.07766990291262135,0.3236363636363636,PFN.SRO._
0.07864077669902912,0.3236363636363636,PFN.SRO._
0.07864077669902912,0.33454545454545453,PFN.SRO._
0.07961165048543689,0.33454545454545453,PFN.SRO._
0.07961165048543689,0.33636363636363636,PFN.SRO._
0.08446601941747572,0.33636363636363636,PFN.SRO._
0.08446601941747572,0.3418181818181818,PFN.SRO._
0.08640776699029126,0.3418181818181818,PFN.SRO._
0.08640776699029126,0.3472727272727273,PFN.SRO._
0.08737864077669903,0.3472727272727273,PFN.SRO._
0.08737864077669903,0.35454545454545455,PFN.SRO._
0.0883495145631068,0.35454545454545455,PFN.SRO._
0.0883495145631068,0.3563636363636364,PFN.SRO._
0.09223300970873786,0.3563636363636364,PFN.SRO._
0.09223300970873786,0.35818181818181816,PFN.SRO._
0.09902912621359224,0.35818181818181816,PFN.SRO._
0.09902912621359224,0.36,PFN.SRO._
0.10485436893203884,0.36,PFN.SRO._
0.10485436893203884,0.3618181818181818,PFN.SRO._
0.10679611650485436,0.3618181818181818,PFN.SRO._
0.10679611650485436,0.36363636363636365,PFN.SRO._
0.10970873786407767,0.36363636363636365,PFN.SRO._
